Date,Ret,Vol,Sharp,NAV,MDD,MDD_N,MDD_T0,MDD_T1,LDD,LDD_N,LDD_T0,LDD_T1
20181228,0.989148172018999,0.8749895324387573,1.1304685774492187,1.9891481720189994,-0.6050506557250184,28,20181109,20181219,-0.28113469588215545,40,20180427,20180627
20191231,0.6708333507092963,0.9021432511095734,0.7435995889613074,2.6599815227282955,-0.7161573398180676,63,20190410,20190712,-0.7161573398180676,63,20190410,20190712
20201231,-0.46626815681168154,0.8803200428694169,-0.5296575496473682,2.193713365916614,-1.3801228667929757,194,20200206,20201120,-1.3801228667929757,194,20200206,20201120
